Sloka,Class
ब्राह्मणं ब्राह्मणो वेद भर्ता वेद स्त्रियं तथा।                            अमात्यं नृपतिर्वेद राजा राजानमेव च॥                               ,Vidur Niti Slokas
येऽर्थाः  स्त्रीषु समायुक्ताः प्रमत्तपतितेषु च।                            ये चानार्ये समासक्ताः सर्वे ते संशयं गताः ॥                               ,Vidur Niti Slokas
प्रियो भवति दानेन प्रियवादेन चापरः।                            मन्त्रमूलबलेनान्यो  यः प्रियः प्रिय एव सः ॥ ,Vidur Niti Slokas
 असम्यगुपयुक्तं हि ज्ञानं सुकुशलैरपि।                             उपलभ्यं चाविदितं विदितं चाननुष्ठितम्॥    ,Vidur Niti Slokas
ययोश्चित्तेन वा चित्तं निभृतं निभृतेन वा।                           समेति प्रज्ञया प्रज्ञा तयोमैत्री न जीवर्यति ॥    ,Vidur Niti Slokas
कर्मणा मनसा वाचा यदभीक्षणं निषेवते।                            तदेवापहरत्येनं तस्मात् कल्याणमाचरेत् ॥  ,Vidur Niti Slokas
अनिर्वेदः श्रियो मूलं लाभस्य च शुभस्य च।                            महान्  भवत्यनिर्विण्णः सुखं चानन्त्यमश्नुते ॥                               ,Vidur Niti Slokas
यत् सुखं सेवमानोपि धर्मार्थाभ्यां न हीयते।                            कामं तदुपसेवेत न मूढव्रतमाचरेत्। ॥                               ,Vidur Niti Slokas
न चातिगुणवत्स्वेषा नान्यन्तं निर्गुणेषु च।                             नेषा गुणान् कामयते नैर्गुण्यात्रानुरज़्यते।                              उन्मत्ता गौरिवान्धा श्री क्वचिदेवावतिष्ठते॥                               ,Vidur Niti Slokas
आलस्यं मदमोहौ  चापलं गोष्टिरेव च।                            स्तब्धता चाभिमानित्वं तथा त्यागित्वमेव च।                            एते वै सप्त दोषाः स्युः सदा विद्यार्थिनां मताः ॥ ,Vidur Niti Slokas
 सुखार्थिनः कुतो विद्या नास्ति विद्यार्थिनः सुखम्।                             सुखार्थी वा त्यजेत् विद्यां विद्यार्थी वा त्यजेत् सुखम्॥    ,Vidur Niti Slokas
नास्ति बुद्धिमतां शत्रुः ॥  ,sanskrit-slogan
विद्या परमं बलम ॥  ,sanskrit-slogan
 सक्ष्मात् सर्वेषों कार्यसिद्धिभर्वति ॥   ,sanskrit-slogan
 न संसार भयं ज्ञानवताम् ॥   ,sanskrit-slogan
 वृद्धसेवया विज्ञानत् ॥   ,sanskrit-slogan
 सहायः समसुखदुःखः ॥    ,sanskrit-slogan
 आपत्सु  स्नेहसंयुक्तं मित्रम् ॥     ,sanskrit-slogan
 मित्रसंग्रहेण बलं सम्पद्यते ॥    ,sanskrit-slogan
 सत्यमेव जयते ॥  ,sanskrit-slogan
 उपायपूर्वं न दुष्करं स्यात् ॥ ,sanskrit-slogan
  विज्ञान दीपेन संसार भयं निवर्तते ॥ ,sanskrit-slogan
  सुखस्य मूलं धर्मः ॥  ,sanskrit-slogan
  धर्मस्य मूलमर्थः ॥   ,sanskrit-slogan
  विनयस्य मूलं विनयः ॥  ,sanskrit-slogan
 अलब्धलाभो नालसस्य ॥  ,sanskrit-slogan
 आलसस्य लब्धमपि रक्षितुं न शक्यते ॥   ,sanskrit-slogan
हेतुतः शत्रुमित्रे भविष्यतः ॥  ,sanskrit-slogan
बलवान हीनेन विग्रहणीयात् ॥  ,sanskrit-slogan
दुर्बलाश्रयो दुःखमावहति ॥   ,sanskrit-slogan
नव्यसनपरस्य कार्यावाप्तिः ॥    ,sanskrit-slogan
अर्थेषणा न व्यसनेषु गण्यते ॥   ,sanskrit-slogan
 अग्निदाहादपि  विशिष्टं वाक्पारुष्यम् ॥     ,sanskrit-slogan
 आत्मायत्तौ वृद्धिविनाशौ ॥   ,sanskrit-slogan
अर्थमूलं धरकामौ ॥    ,sanskrit-slogan
 कार्यार्थिनामुपाय एव सहायः ॥  ,sanskrit-slogan
 कार्य पुरुषकारेण लक्ष्यं सम्पद्यते ॥ ,sanskrit-slogan
  असमाहितस्य वृतिनर विद्यते ॥  ,sanskrit-slogan
  पूर्वं निश्चित्य पश्चात् कार्यभारभेत् ॥   ,sanskrit-slogan
 कार्यान्तरे दीघर्सूत्रता न कर्तव्या ॥    ,sanskrit-slogan
  दुरनुबध्नं कार्य साधयेत् ॥  ,sanskrit-slogan
 कालवित्  कार्यं साधयेत् ॥  ,sanskrit-slogan
 भाग्यवन्तमपरीक्ष्यकारिणं श्रीः परित्यजति ॥   ,sanskrit-slogan
यो यस्मिन् कर्माणि कुशलस्तं तस्मित्रैव योजयेत् ॥   ,sanskrit-slogan
दुःसाध्यमपि सुसाध्यं करोत्युपायज्ञः ॥   ,sanskrit-slogan
अप्रयत्नात् कार्यविपत्तिभर्वती ॥   ,sanskrit-slogan
शोकः शौर्यपकर्षणः ॥   ,sanskrit-slogan
न सुखाल्लभ्यते सुखम् ॥    ,sanskrit-slogan
स्वभावो दुरतिक्रमः ॥     ,sanskrit-slogan
 मित्रता-उपकारफलं मित्रमपकारोऽरिलक्षणम् ॥  ,sanskrit-slogan
 सर्वथा सुकरं मित्रं दुष्करं प्रतिपालनम् ॥  ,sanskrit-slogan
 ये शोकमनुवर्त्तन्ते  न तेषां विद्यते सुखम् ॥  ,sanskrit-slogan
 सुख-दुर्लभं हि सदा सुखम् ॥  ,sanskrit-slogan
 सर्वे चण्डस्य विभ्यति ॥   ,sanskrit-slogan
 मृदुर्हि परिभूयते ॥    ,sanskrit-slogan
शब्दमात्रात् न भीतव्यम् ॥   ,sanskrit-slogan
उपायेन हि यच्छक्यं न तच्छक्यं पराक्रमैः ॥   ,sanskrit-slogan
उपायेन जयो यदृग्रिपोस्तादृड्डं न हेतिभिः ॥   ,sanskrit-slogan
यस्य बुद्धिर्बलं तस्य निर्बुद्धेस्तु कुतो बलम्  ॥   ,sanskrit-slogan
न ह्राविज्ञातशीलस्य प्रदातव्यः प्रतिश्रयः  ॥    ,sanskrit-slogan
सेवाधर्मः परमगहनो ॥     ,sanskrit-slogan
 बलवन्तं रिपु दृष्ट् वा न वामान प्रकोपयेत् ॥  ,sanskrit-slogan
 यद् भविष्यो विनश्यति ॥  ,sanskrit-slogan
 बहूनामप्यसाराणां समवायो हि दुर्जयः ॥  ,sanskrit-slogan
 उपदेशो हि मूर्खणां प्रकोपाय न शान्तये ॥  ,sanskrit-slogan
 उपदेशो न दातव्यो यादृशे तादृशे जने ॥   ,sanskrit-slogan
 किं करोत्येव पाण्डित्यमस्थाने   विनियोजितम्  ॥    ,sanskrit-slogan
उपायं चिन्तयेत्प्राज्ञस्तथा पायं च चिन्तयेत् ॥   ,sanskrit-slogan
पण्डितोऽपि वरं शत्रुर्न मूर्खो हितकारकः ॥   ,sanskrit-slogan
हेतुरत्र भविष्यति ॥   ,sanskrit-slogan
"अतितृष्णा न कर्तव्या, तृष्णां नैव परित्यजेत् ॥   ",sanskrit-slogan
न दैवप्रमाणानां कार्यसिद्धिः ॥   ,sanskrit-slogan
 शत्रवोऽपि हितायैव विवदन्तः परस्परम् ॥  ,sanskrit-slogan
 स्वजातिः दुरतिक्रमा ॥  ,sanskrit-slogan
 अनागतं यः कुरुते स शोभते ॥  ,sanskrit-slogan
 जानन्नपि नरो दैवात्प्रकरोति विगर्हितम् ॥  ,sanskrit-slogan
 मौंन सर्व थेसाधकम् ॥   ,sanskrit-slogan
छात्राः अनुशासिताः भवेयुः ॥   ,sanskrit-slogan
धनात् धर्मः भवति ॥   ,sanskrit-slogan
सत्यमेव जयते न अनृतम् ॥   ,sanskrit-slogan
अध्ययनेन/अध्ययनं वीना ज्ञानं न भवति ॥   ,sanskrit-slogan
यः कार्यं न पश्यति सोऽन्धः ॥   ,sanskrit-slogan
 सदाचारः सर्वेषां धर्माणां श्रेष्ठः अस्ति ॥  ,sanskrit-slogan
 आचारात् एव बुद्धिः भवति ॥  ,sanskrit-slogan
 परिश्रमस्य फलं मधुरं भवति ॥  ,sanskrit-slogan
 अनुशासनेन एव मनुष्यः महान् भवति ॥  ,sanskrit-slogan
 अपरीक्ष्यकारिणं श्रीः परित्यजति ॥  ,sanskrit-slogan
स्वजनं तर्पयित्वा यः शेषभोजी सोऽमृतभोजी ॥   ,sanskrit-slogan
नास्ति भीरोः कार्यचिन्ता  ॥   ,sanskrit-slogan
नास्त्यप्राप्यं सत्यवताम् ॥   ,sanskrit-slogan
संस्कृतं देवानं भाषा अस्ति ॥   ,sanskrit-slogan
संतोषवत् न किमपि सुखम् अस्ति ॥   ,sanskrit-slogan
 ईश्वरस्य पूजा वृथा न भवति ॥  ,sanskrit-slogan
 संस्कृतं भाषाणां जननी अस्ति ॥  ,sanskrit-slogan
 छात्राणां धर्मः अध्ययनम्  अस्ति ॥  ,sanskrit-slogan
 विद्या धनेषु उत्तमा वर्त्तते ॥  ,sanskrit-slogan
 सदा सत्यं वदेत् ॥  ,sanskrit-slogan
छात्रैः परिश्रमेण पठितव्यम् ॥   ,sanskrit-slogan
अस्माभिः सदा चरित्रं रक्षणीयम् ॥   ,sanskrit-slogan
विद्यया लभते ज्ञानम् ॥   ,sanskrit-slogan
अस्तयभाषणं पापं वर्तते ॥   ,sanskrit-slogan
" श्रध्दा ज्ञानं ददाति, नम्रता मानं ददाति, योग्यता स्थानं ददाति ॥  ",sanskrit-slogan
 असंहताः विंनश्यन्ति ॥  ,sanskrit-slogan
 संहतिः कार्यसाधिका ॥  ,sanskrit-slogan
 ईश्वरस्य  स्मरणं प्रभाते उत्थाय अवश्यं  कर्तंव्यम् ॥  ,sanskrit-slogan
 अभ्यावहति कल्याणं विविधं वाक् सुभाषिता ॥  ,sanskrit-slogan
 वृध्दा न ते ये न वदन्ति धर्मम् ॥  ,sanskrit-slogan
श्रोतव्यं खलु वृध्दानामिति शास्त्रनिदर्शनम् ॥   ,sanskrit-slogan
शरीरमाद्यं खलु धर्मसाधनम्  ॥   ,sanskrit-slogan
लोभः प्रज्ञानमाहन्ति ॥   ,sanskrit-slogan
लोभमूलानि पापानि ॥   ,sanskrit-slogan
अन्तो नास्ति पिपासायाः ॥   ,sanskrit-slogan
 मृजया रक्ष्यते रूपम् ॥  ,sanskrit-slogan
 तद् रूपं यत्र गुणाः ॥  ,sanskrit-slogan
सत्यभाषणं पुण्यं वर्तते ॥   ,sanskrit-slogan
 यशोधनानां हि यशो गरीयः ॥  ,sanskrit-slogan
 वरं मौनं कार्यं न च वचनमुक्तं यदनृतम्  ॥  ,sanskrit-slogan
मौनं सर्वार्थसाधनम् ॥   ,sanskrit-slogan
कुलं शीलेन रक्ष्यते ॥   ,sanskrit-slogan
सर्वे मित्राणि समृध्दिकाले ॥   ,sanskrit-slogan
न मातुः परदैवतम् ॥   ,sanskrit-slogan
कुपुत्रो जायेत क्वचिदपि कुमाता न भवति ॥   ,sanskrit-slogan
 गुरुणामेव सर्वेषां माता गुरुतरा स्मृता ॥  ,sanskrit-slogan
 मनः शीघ्रतरं बातात् ॥  ,sanskrit-slogan
मन एव मनुष्याणां कारणं बन्धमोक्षयोः ॥   ,sanskrit-slogan
 भाग्यं फ़लति सर्वत्र न विद्या न च पौरुषम् ॥  ,sanskrit-slogan
 चराति चरतो भगः ॥  ,sanskrit-slogan
सहायास्तादृशा एव यादृशी भवितव्यता ॥   ,sanskrit-slogan
यदभावि न तदभावी भावि चेन्न तदन्यथा ॥   ,sanskrit-slogan
बलवन्तो हि अनियमाः नियमा दुर्बलीयसाम् ॥   ,sanskrit-slogan
स्वभावो दुरतिक्रमः ॥   ,sanskrit-slogan
बह्वाश्र्चर्या हि मेदनी ॥   ,sanskrit-slogan
 पितृदोषेण मूर्खता ॥  ,sanskrit-slogan
 पितरि प्रीतिमापन्ने प्रीयन्ते सर्वदेवताः ॥  ,sanskrit-slogan
पात्रत्वाद् धनमाप्नोति ॥   ,sanskrit-slogan
 विनयाद् याति पात्रताम् ॥  ,sanskrit-slogan
 दुःखेनासाद्यते पात्रम् ॥  ,sanskrit-slogan
दैवेन देयमिति कापुरुषा वदन्ति ॥   ,sanskrit-slogan
हस्तस्य भूषणं दानम् ॥   ,sanskrit-slogan
दीयमानं हि नापैति भूय एवाभिवर्तते ॥   ,sanskrit-slogan
गृहेऽपि पज्चेन्द्रियनिग्रहः तपः ॥   ,sanskrit-slogan
जननी जन्मभूमुश्च स्वर्गादपि गरीयसी ॥   ,sanskrit-slogan
 कृतज्ञः सर्वलोकेषु पूज्यो भवति सर्वदा ॥  ,sanskrit-slogan
 उपायेन हि यच्छक्यं तन्न शक्यं पराक्रमैः ॥  ,sanskrit-slogan
नोपकारात् परो धर्मो नापकारादधं परम् ॥   ,sanskrit-slogan
 कुर्वाणो नावसीदति ॥  ,sanskrit-slogan
 उद्यमे नावसीदति ॥  ,sanskrit-slogan
सोत्साहानां नास्त्यसाध्यं नराणाम् ॥   ,sanskrit-slogan
उत्साहवन्तः पुरुषाः नावसीदन्ति कर्मसु ॥   ,sanskrit-slogan
कुतो विद्यार्थिनः सुखम् ॥   ,sanskrit-slogan
किं किं न साधयति कल्पलतेव विद्या ॥   ,sanskrit-slogan
सा विद्या या विमुक्तये ॥   ,sanskrit-slogan
 विद्या योगेन रक्ष्यते ॥  ,sanskrit-slogan
 न नित्यं लभते दुःखं न नित्यं लभते सुखम् ॥  ,sanskrit-slogan
दुःखादुद्विजते जन्तुः सुखं सर्वाय रुच्यते ॥   ,sanskrit-slogan
 अनर्थाः संघचारिणः ॥  ,sanskrit-slogan
 अपुत्रता मनुष्याणां श्रेयसे न कुपुत्रता ॥  ,sanskrit-slogan
ते पुत्रा ये पितुर्भक्ताः ॥   ,sanskrit-slogan
उद्योगसम्पन्नं समुपैति लक्ष्मीः ॥   ,sanskrit-slogan
यत्नवान् सुखमेधते ॥   ,sanskrit-slogan
विद्वानेव विजानाति विद्वज्जन परिश्रमम् ॥   ,sanskrit-slogan
विद्वान सर्वत्र पूज्यते ॥   ,sanskrit-slogan
 ज्ञात्वापि दोषमेव करोति लोकः ॥  ,sanskrit-slogan
 सर्वो हि मन्यते लोक आत्मानं निरूपद्रवम् ॥  ,sanskrit-slogan
गतानुगतिको लोकः न लोक़ः पारमार्थिकः ॥   ,sanskrit-slogan
 को लोकमाराधयितुं समर्थः ॥  ,sanskrit-slogan
 चिरनिरूपणीयो हि व्यक्तिस्वभावः ॥  ,sanskrit-slogan
